Predicate	Abstraction
dislike	!respect_as:friend&disliking
distrust	!respect_as:confidante&distrusting
harden_toward	!respect_as:ally&hardening
lose_faith_in	!respect_as:guide&doubting
seek_pardon_for	seek_from:pardon*&repenting
seek_treatment_for	seek_for:treatment*&seeking_treatment
remove	!carry_as:addition&removing
take_off	!carry_as:clothing&taking_off
settle_with	respect_with:deal&setting
drop	!carry_as:burden&dropping
unload	!carry_as:load&unloading
unpack	!carry_as:luggage&unpacking
are_disobeyed_by	<!respect_as:authority&disobeying
lose_control_over	<!respect_as:leader&rejecting_control
undermine	!support_as:leader&undermining, !respect_as:leader&undermining
are_mystified_by	!identify_in:meaning*, <imbue_with:confusion&being_mystified, imbue_with:mystery&being_mystified
disappoint	!respect_for:competence, imbue_with:disappointment
disillusion	!respect_for:behaviour&not_impressing, imbue_with:disillusionment&disillusioning
fail_to_impress	!respect_for:performance, imbue_with:disappointment, <identify_as:poor_candidate&ranking
flunk	^!respect_for:teacher&flunking, ^reject_for:teacher&flunking
are_overshadowed_by	<!respect_as:equal&overshadowing
fall_short_of	!respect_for:judge*&falling_short
anger	imbue_with:anger&angering
annoy	imbue_with:frustration&annoying
displease	imbue_with:displeasure&displeasing
lose_favor_with	<!respect_as:favorite&losing_faith, imbue_with:disappoint&losing_favor
offend	imbue_with:indignation&offending
fail_to_deliver_for	<!respect_for:achievement&failing, !provide_to:delivery*&failing
condescend_to	!respect_as:equal&condescending
disrespect	!respect_as:friend&disrespecting
fail_to_reward	!respect_as:achiever&&not_rewarding, !enhance_with:reward&not_rewarding, !provide_to:reward*&not_rewarding
calm	imbue_with:calm&calming
calm_down	imbue_with:tranquility&calming
relax	imbue_with:relaxation&relaxing
prolong	enhance_in:duration&prolonging
ignore	!respect_as:source&ignoring
tune_out	!respect_as:communicator&tuning_out
forget	!respect_as:memory&forgetting
are_bored_by	!respect_as:entertainment&yawning
underestimate	!respect_as:rival&underestimating
are_distrusted_by	<!respect_as:confidante&doubting, imbue_with:doubt&sowing_doubt
are_isolated_by	<!respect_as:colleague&isolating
disobey	!respect_as:leader&disobeying
are_uncovered_by	<identify_of:intention*&uncovering
are_benched_by	<!deploy_as:player&benching
are_recalled_by	<!deploy_as:representative&recalling
are_hindered_by	<!support_as:collaborator&hindering, <damage_with:obstacle&hindering
are_undermined_by	<!support_as:ally&undermining, <damage_with:subversion&undermining
are_disappointed_by	!respect_for:performance&critiquing, <imbue_with:disappointment&disappointing
are_disillusioned_by	!respect_for:behaviour&losing_faith, <imbue_with:disillusionment&disillusioning
are_dissatisfied_by	!respect_as:service&complaining
are_failed_by	!respect_for:competence&judging, <imbue_with:disillusionment&failing
are_suspected_by	<!respect_for:honesty&suspecting, <identify_as:suspect&suspecting
are_unimpressed_by	!respect_for:achievement&critiquing, identify_as:poor_candidate&evaluating
are_unimpressed_with	identify_as:poor_candidate&evaluating
fail	!respect_for:grade&flunking, identify_as:failure&flunking
are_bored_with	!respect_as:entertainment&yawning, <imbue_with:interest&boring
are_offended_by	<imbue_with:indignation&offending
are_tired_of	!respect_for:variety&tiring, <imbue_with:interest&boring
lose_interest_in	<imbue_with:interest&boring
tire_of	<imbue_with:interest&boring
are_discouraged_by	<!imbue_with:enthusiasm&discouraging
are_forgotten_by	<!respect_as:memory&forgetting
are_underestimated_by	<!respect_as:rival&underestimating
are_accepted_by	<respect_as:member&accepting
are_invited_by	<respect_as:invitee&inviting
are_trusted_by	<respect_as:confidante&trusting, imbue_with:trust&gaining_trust
are_welcomed_by	<respect_as:new_arrival&welcoming
qualify_for	<respect_as:candidate&accepting, obtain_for:qualification*&qualifying
are_trusted_with	respect_as:priority&convincing, identify_as:priority&caring
are_appointed_by	<appoint_as:appointee&appointing
are_booked_by	<appoint_as:performer&booking
are_commissioned_by	<appoint_as:expert&commissioning
are_deputized_by	<appoint_as:deputy&deputizing
are_hired_by	<appoint_as:employee&hiring
are_recruited_by	<appoint_as:recruit&recruiting
are_retained_by	<appoint_as:representative&retaining
are_appointed_for	^appoint_for:official&appointing
are_booked_at	^appoint_for:agent&booking
are_booked_for	^appoint_for:organizer&booking
are_hired_for	^appoint_for:employer&hiring
are_appointed_to	^appoint_for:superior&appointing
are_attracted_by	<attract_with:quality&attracting, <imbue_with:desire&attracting
are_attracted_to	<attract_with:quality&attracting, <imbue_with:desire&attracting
are_captivated_by	<attract_with:fascination&captivating, <imbue_with:desire&captivation
are_charmed_by	<attract_with:charm&charming
are_fascinated_by	<attract_with:fascination&fascinating
are_intrigued_by	<attract_with:intrigue&intriguing
are_invited_to	^attract_to:host&inviting
are_lured_by	<attract_with:lure&luring
are_seduced_by	<attract_with:wile&seducing, <imbue_with:desire&seducing
fall_for	<attract_with:allure&alluring
are_cared_for_by	<tend_with:care&caring
are_loved_by	<tend_with:love&loving
are_nurtured_by	<tend_with:nurturie&nurturing
are_pampered_by	<tend_with:indulgence&pampering
are_pitied_by	<tend_with:pity&pitying
are_raised_by	<tend_with:parenting&raising
are_served_by	<tend_with:service&serving
are_tended_by	<tend_with:attention&tending
are_carried_by	<carry_as:cargo&carrying
are_driven_by	<carry_as:passenger&driving, <propel_with:vehicle
are_captured_by	<catch_as:captive&capturing
are_caught_by	<catch_as:fugitive&catching
are_caught_in	^catch_in:detector&detecting
are_kidnapped_by	<catch_as:kidnap_victim&kidnapping
are_celebrated_with	^respect_with:celebrant&celebrating
are_chronicled_by	<communicate_about:history*&chronicling, <produce_of:chronicle*&chronicling
are_chronicled_in	^<communicate_about:historian&chronicling
are_commemorated_by	^respect_with:admirer&commemorating
are_questioned_for	communicate_about:answer*&answering
are_remembered_in	<communicate_about:memory*&remembering
are_reported_by	<communicate_about:report*&reporting
are_advised_by	<communicate_to:advice*&advising
are_grilled_by	<communicate_to:tough_question*&grilling
are_interviewed_by	<communicate_to:query*&interviewing
are_questioned_by	<communicate_to:question*&questioning
debrief	communicate_to:question*&debriefing, <communicate_to:account*&recalling
are_contradicted_by	<communicate_to:opposition*&contradicting
are_blackmailed_by	<control_with:blackmail&blackmailing
are_bought_by	<control_with:payoff&buying
are_bound_by	<control_with:restraint&binding
are_brainwashed_by	<control_with:brainwashing&brainwashing, <control_of:mind*&mind_control
are_brainwashed_in	<control_with:mind_control&brainwashing
are_commanded_by	<control_with:command&commanding
are_controlled_by	<control_with:leverage&controlling
are_enslaved_by	<control_with:slavery&enslaving, <control_of:freedom*&enslaving
are_handled_by	<control_with:pversight&handling
are_led_by	<control_with:leadership&leading
are_managed_by	<control_with:management&managing
are_mollified_by	<control_with:appeasement&mollifying
are_obeyed_by	control_with:order&ordering
are_overwhelmed_by	<control_with:force&overwhelming
are_repressed_by	<control_with:repression&repressing
are_reprogrammed_by	<control_with:mind_control&reprogramming
are_ruled_by	<control_with:decree&ruling
are_subdued_by	<control_with:superior_force&subduing
are_supervised_by	<control_with:supervision&supervising
are_suppressed_by	<control_with:suppression&suppressing, <control_of:freedom*&suppressing
are_tamed_by	<imbue_with:docility&taming
bow_before	<control_with:religion&commanding
bow_down_to	<control_with:authority&commanding
obey	<control_with:order&commanding
yield_to	<control_with:force&subduing
are_controlled_with	^control_with:master&controlling
are_restrained_with	<control_with:restraint&restraining
are_confused_with	<copy_from:appearance*&copying
are_copied_by	<copy_from:style*&copying
are_imitated_by	<copy_from:mannerism&imitating
are_copied_from	copy_from:form*&copying
are_accused_by	<communicate_to:accusation*&accusing
are_charged_by	<communicate_to:charge*&charging
are_chastised_by	<communicate_to:complaint*&chastising
are_criticized_by	<communicate_about:criticism*&criticising
are_critiqued_by	<communicate_about:critique*&critiquing
are_debunked_by	<communicate_about:exposé*&debunking, <damage_with:evidence&debunking
are_denounced_by	<communicate_about:denunciation*&denouncing
are_despised_by	<communicate_about:hate*&despising
are_disgusted_by	communicate_about:disgust*&reviling
are_fined_by	<damage_with:fine&fining
are_humiliated_by	<communicate_to:humiliation*&humiliating, <damage_with:humiliation&humiliating
are_prosecuted_by	<communicate_about:accusation*&prosecuting, <oppose_with:prosecution&prosecuting
are_resented_by	<communicate_about:resentment*&resenting
are_scolded_by	<communicate_to:telling_off*&scolding
are_sued_by	<communicate_to:legal_complaint*&suing
are_taunted_by	<communicate_to:taunt*&taunting, <propel_at:taunt*&taunting
disgust	<communicate_about:disgust*&reviling
are_accused_of	^identity_with:accuser&accusing
are_charged_with	^identify_with:prosecutor&charging
are_committed_for	^control_for:doctor&committing
are_convicted_for	^control_for:judge&convicting
are_criticized_for	^!respect_for:hater&criticizing
are_despised_for	^!respect_for:hater&despising
are_indicted_for	^control_for:prosecutor&indicting
are_suspected_of	^!respect_for:skeptic&suspecting
are_convicted_of	^control_for:jury&convicting
